index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
85,54G0834,408765,426102,1,16/04/2018,1312,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,67,,,,,,,,,,,,,,,,,,,,,,,,,
86,54H0181,409318,424756,1,17/04/2018,334,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,36,,,,,,,,,,,,,,,,,,,,,,,,,
87,54H1759,401002,427162,2,17/04/2018,2050,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,55,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
88,54I0244,408031,418027,3,18/04/2018,702,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,56,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
89,54I1035,407853,424129,2,18/04/2018,1455,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
90,54K2239,399421,429023,1,20/04/2018,2318,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,62,,,,,,,,,,,,,,,,,,,,,,,,,
91,54O0346,403342,418093,1,24/04/2018,814,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,14,,,,,,,,,,,,,,,,,,,,,,,,,
92,54O1465,409652,421066,1,24/04/2018,1759,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,29,,,,,,,,,,,,,,,,,,,,,,,,,
93,54P0240,409526,424565,2,25/04/2018,739,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
94,54R0904,407581,427792,2,24/04/2018,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight,Male,40,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
95,54T0046,403941,419776,2,29/04/2018,20,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,37,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,24,,,,,,,,,,,,,,,,,,,,
96,5510970,406593,428169,2,01/05/2018,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
97,5571302,405703,423373,2,07/05/2018,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,60,Car,Vehicle or pillion passenger,Slight,Female,59,,,,,,,,,,,,,,,,,,,,
98,5580398,408258,427160,2,08/05/2018,825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
99,5581544,409060,425737,2,08/05/2018,1735,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
